sep=,
Time:UnityTime, Time:FrameNum, E:Automatic__LeftPupil:Diameter, E:Automatic__RightPupil:Diameter, E:Automatic__LeftPupilNormPos:Point2D:X, E:Automatic__LeftPupilNormPos:Point2D:Y, E:Automatic__RightPupilNormPos:Point2D:X, E:Automatic__RightPupilNormPos:Point2D:Y, E:Automatic_LeftPupil:EyeOpeness, E:Automatic_RightPupil:EyeOpeness, GV:VRGV:Origin:Left:Point3D:X, GV:VRGV:Origin:Left:Point3D:Y, GV:VRGV:Origin:Left:Point3D:Z, GV:VRGV:Origin:Right:Point3D:X, GV:VRGV:Origin:Right:Point3D:Y, GV:VRGV:Origin:Right:Point3D:Z, GV:VRGV:NormDirection:Left:Point3D:X, GV:VRGV:NormDirection:Left:Point3D:Y, GV:VRGV:NormDirection:Left:Point3D:Z, GV:VRGV:NormDirection:Right:Point3D:X, GV:VRGV:NormDirection:Right:Point3D:Y, GV:VRGV:NormDirection:Right:Point3D:Z, GV:VRGV:FixPoint:Point3D:X, GV:VRGV:FixPoint:Point3D:Y, GV:VRGV:FixPoint:Point3D:Z, M:TargetPos:Point3D:X, M:TargetPos:Point3D:Y, M:TargetPos:Point3D:Z, O:HeadObj:Center:Point3D:X, O:HeadObj:Center:Point3D:Y, O:HeadObj:Center:Point3D:Z, O:HeadObj:Vertex1:Point3D:X, O:HeadObj:Vertex1:Point3D:Y, O:HeadObj:Vertex1:Point3D:Z, O:HeadObj:Vertex2:Point3D:X, O:HeadObj:Vertex2:Point3D:Y, O:HeadObj:Vertex2:Point3D:Z, O:HeadObj:Vertex3:Point3D:X, O:HeadObj:Vertex3:Point3D:Y, O:HeadObj:Vertex3:Point3D:Z, O:HeadObj:Vertex4:Point3D:X, O:HeadObj:Vertex4:Point3D:Y, O:HeadObj:Vertex4:Point3D:Z, O:HeadObj:Vertex5:Point3D:X, O:HeadObj:Vertex5:Point3D:Y, O:HeadObj:Vertex5:Point3D:Z, O:HeadObj:Vertex6:Point3D:X, O:HeadObj:Vertex6:Point3D:Y, O:HeadObj:Vertex6:Point3D:Z, O:HeadObj:Vertex7:Point3D:X, O:HeadObj:Vertex7:Point3D:Y, O:HeadObj:Vertex7:Point3D:Z, O:HeadObj:Vertex8:Point3D:X, O:HeadObj:Vertex8:Point3D:Y, O:HeadObj:Vertex8:Point3D:Z
0.2501833, 454, 0.003835571, 0.003835571, 0.49294, 0.6324307, 0.5066378, 0.6400462, 1, 1, 0.03280907, 9.483338E-05, -0.03698447, -0.03115541, 0.0006349945, -0.04073019, -0.07823181, 0.07489014, 0.9941101, 0.04603577, 0.04849243, 0.997757, 0, 0, 0, -2.471547, 7.734907, -10.35443, -0.9022099, 13.26005, -14.85832, -2.863239, 14.06204, -17.10651, 0.6683532, 13.51344, -17.53882, -3.087331, 11.06169, -15.12972, 0.4442615, 10.51309, -15.56203, -2.201697, 15.97436, -14.12903, 1.329895, 15.42576, -14.56134, -2.425789, 12.97401, -12.15224, 1.105803, 12.42541, -12.58455
0.2738074, 455, 0.003880371, 0.003880371, 0.4979401, 0.6359172, 0.5095069, 0.6435576, 1, 1, 0.03275081, 2.331543E-05, -0.0369755, -0.03121896, 0.000632782, -0.04073753, -0.09643555, 0.06950378, 0.9929047, 0.0431366, 0.02980042, 0.9986115, 0, 0, 0, -2.471954, 7.736338, -10.35042, -0.9249557, 13.27957, -14.87204, -2.890668, 14.06704, -17.11991, 0.6419376, 13.52614, -17.55365, -3.105544, 11.07167, -15.13457, 0.4270615, 10.53077, -15.5683, -2.231481, 15.98933, -14.14834, 1.301124, 15.44843, -14.58207, -2.446357, 12.99397, -12.16299, 1.086248, 12.45307, -12.59673
0.2979189, 456, 0.003986404, 0.003986404, 0.5008639, 0.6356002, 0.5111479, 0.6454357, 1, 1, 0.03270578, 0.0001132507, -0.03741405, -0.03124455, 0.0006433716, -0.0408728, -0.107132, 0.08068848, 0.9909515, 0.03901672, 0.02494812, 0.9989166, 0, 0, 0, -2.473345, 7.736941, -10.34607, -0.9465887, 13.30383, -14.88919, -2.919308, 14.06853, -17.1348, 0.6149021, 13.53975, -17.57039, -3.119889, 11.08124, -15.13585, 0.414322, 10.55245, -15.57144, -2.264233, 16.00669, -14.17263, 1.269977, 15.4779, -14.60823, -2.464813, 13.01939, -12.17368, 1.069397, 12.4906, -12.60927
0.3191847, 457, 0.004229248, 0.004229248, 0.4975122, 0.6409452, 0.51046, 0.654637, 1, 1, 0.03276802, -0.0001155548, -0.03712883, -0.03124173, 0.0002345734, -0.04007604, -0.1005859, 0.08447266, 0.991333, 0.03874207, 0.01235962, 0.9991608, 0, 0, 0, -2.474059, 7.738433, -10.34183, -0.9701377, 13.33209, -14.91049, -2.948706, 14.06654, -17.15409, 0.5878977, 13.55548, -17.59142, -3.129076, 11.09113, -15.13559, 0.4075279, 10.58006, -15.57291, -2.300705, 16.02759, -14.20547, 1.235898, 15.51653, -14.64279, -2.481075, 13.05217, -12.18696, 1.055528, 12.54111, -12.62428
0.3403779, 458, 0.003955231, 0.003955231, 0.4683405, 0.6357704, 0.4828421, 0.6403322, 1, 1, 0.03320261, -0.0001242218, -0.03695294, -0.03072646, 0.0005053711, -0.04062123, -0.01423645, 0.1037598, 0.9944916, 0.08956909, 0.06707764, 0.9937134, 0, 0, 0, -2.472907, 7.738426, -10.34064, -0.9942807, 13.36124, -14.93332, -2.985674, 14.06091, -17.17465, 0.5529944, 13.57172, -17.62022, -3.13734, 11.10163, -15.13023, 0.4013276, 10.61245, -15.57579, -2.341603, 16.05173, -14.24518, 1.197065, 15.56255, -14.69075, -2.49327, 13.09245, -12.20076, 1.045398, 12.60327, -12.64632
0.3612564, 459, 0.004301361, 0.004301361, 0.4367203, 0.6258626, 0.4423172, 0.6205749, 1, 1, 0.0337088, -0.0003880768, -0.03593303, -0.03012553, 0.000776535, -0.04074037, 0.07449341, 0.16922, 0.9827423, 0.1926422, 0.1290131, 0.9727478, 0, 0, 0, -2.472406, 7.735312, -10.34159, -1.020861, 13.39272, -14.95752, -3.024213, 14.05506, -17.19562, 0.5153844, 13.58296, -17.6521, -3.148731, 11.11555, -15.12106, 0.3908659, 10.64345, -15.57754, -2.379427, 16.07902, -14.2891, 1.16017, 15.60692, -14.74558, -2.503946, 13.13951, -12.21455, 1.035651, 12.66741, -12.67103
0.3822326, 460, 0.004295547, 0.004295547, 0.4312615, 0.6337321, 0.4415711, 0.6307399, 1, 1, 0.03387877, -0.0002907562, -0.0368443, -0.03004576, 0.0005730133, -0.04070492, 0.06291199, 0.1548004, 0.9859314, 0.1800995, 0.1123352, 0.9772034, 0, 0, 0, -2.472407, 7.735255, -10.34202, -1.047953, 13.42526, -14.98256, -3.058889, 14.04839, -17.22391, 0.4833597, 13.5969, -17.68068, -3.15941, 11.12984, -15.11869, 0.3828377, 10.67835, -15.57546, -2.42456, 16.10708, -14.33958, 1.117688, 15.6556, -14.79635, -2.525082, 13.18854, -12.23435, 1.017166, 12.73705, -12.69112
0.4030407, 461, 0.004299789, 0.004299789, 0.4297819, 0.6349259, 0.4392925, 0.6330359, 1, 1, 0.03391423, -0.0006537628, -0.03599345, -0.03002109, 0.0005338135, -0.04074791, 0.07072449, 0.1766815, 0.98172, 0.1880188, 0.1104736, 0.9759216, 0, 0, 0, -2.472117, 7.735035, -10.34166, -1.078004, 13.45714, -15.01241, -3.080786, 14.04158, -17.26461, 0.4657325, 13.60487, -17.70221, -3.172959, 11.14836, -15.12433, 0.3735598, 10.71166, -15.56193, -2.469467, 16.13886, -14.40319, 1.077052, 15.70216, -14.84079, -2.561639, 13.24564, -12.26291, 0.9848791, 12.80894, -12.70051
0.4232883, 462, 0.004251633, 0.004251633, 0.4278394, 0.6402314, 0.4407557, 0.6372644, 1, 1, 0.03394283, -0.0007405548, -0.03602744, -0.03003674, 0.0002939301, -0.04065933, 0.07637024, 0.1642456, 0.9834442, 0.1832581, 0.1327209, 0.9740601, 0, 0, 0, -2.471857, 7.734633, -10.34225, -1.107074, 13.48841, -15.04889, -3.106164, 14.04428, -17.30628, 0.4428064, 13.61338, -17.72953, -3.196081, 11.17279, -15.13684, 0.3528889, 10.74189, -15.56009, -2.508896, 16.17239, -14.46474, 1.040074, 15.74149, -14.88798, -2.598814, 13.30091, -12.29529, 0.9501564, 12.87001, -12.71854
0.4443469, 463, 0.004320404, 0.004320404, 0.4293238, 0.6450915, 0.4438573, 0.6466025, 1, 1, 0.03393582, -0.0009437103, -0.03564368, -0.03010921, 0.0001066589, -0.04045702, 0.07139587, 0.1559448, 0.9851685, 0.1790924, 0.1070404, 0.9779816, 0, 0, 0, -2.472781, 7.733449, -10.34445, -1.13591, 13.51812, -15.09187, -3.143154, 14.05247, -17.34154, 0.4059134, 13.62882, -17.77124, -3.218732, 11.197, -15.15051, 0.3303356, 10.77335, -15.58021, -2.544483, 16.20347, -14.51757, 1.004585, 15.77982, -14.94727, -2.620061, 13.348, -12.32655, 0.9290069, 12.92435, -12.75625
